XGBClassifier Hyperparameters,XGBClassifier Hyperparameters,XGBClassifier Hyperparameters,Performance metrics,Performance metrics
eta,max_depth,n_estimators,mean_test_score,std_test_score
0.15,3,30,0.8521417302714173,0.00908587557685476
0.15,3,60,0.8713073137130731,0.009123735218184947
0.15,5,30,0.8612680398626803,0.00909259994834835
0.15,5,60,0.8743497872434979,0.008945277458633391
0.15,7,30,0.8588352275883522,0.008014622625237095
0.15,7,60,0.8685709206857092,0.005273950213539481
0.15,9,30,0.859748191847482,0.006032648461121277
0.15,9,60,0.8688747791887478,0.006261542111564581
0.25,3,30,0.86826400693264,0.011941854757551948
0.25,3,60,0.8819551378195514,0.009777908123351005
0.25,5,30,0.8719175304691752,0.006023540290261987
0.25,5,60,0.8813488095634882,0.00526152291052718
0.25,7,30,0.8685700874357009,0.009080301159166462
0.25,7,60,0.8746564232465643,0.0031557662456886152
0.25,9,30,0.8658325834083258,0.005973268093130719
0.25,9,60,0.8752630292526303,0.007701480645304319
